search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
Blood Urea Nitrogen ( BUN ),32,48791-8,https://loinc.org/48791-8,ACTIVE,Urea nitrogen peritoneal dialysis clearance/1.73 sq M,Urea nit Cl/1.73 sq M DiafP+SerPl-ArVRat,1,Urea nitrogen peritoneal dialysis clearance/1.73 sq M,ArVRat,Pt,Dial fld prt+Ser/Plas,Qn,,mL/min,CHEM
MID,1,48825-4,https://loinc.org/48825-4,ACTIVE,"Respiratory allergen panel, US - Mid Atlantic states - Serum",Resp allergen Mid Atl Pnl Ser,1,"Respiratory allergen panel, US - Mid Atlantic states",-,Pt,Ser,-,,,PANEL.ALLERGY
MID,4,34420-0,https://loinc.org/34420-0,ACTIVE,Reticulocytes.mid/Reticulocytes.total in Blood,Mid Retics NFr,1,Reticulocytes.mid/Reticulocytes.total,NFr,Pt,Bld,Qn,,%,HEM/BC
MID,5,10237-6,https://loinc.org/10237-6,ACTIVE,Oxygen content in Mid right atrium,O2 Ct RA.mid-sCnc,1,Oxygen content,SCnc,Pt,Heart.atrium.right.mid,Qn,,mol/L,CHEM
MID,6,51634-4,https://loinc.org/51634-4,ACTIVE,Reticulocytes.mid [#/volume] in Blood,Mid Retics #,1,Reticulocytes.mid,NCnc,Pt,Bld,Qn,,10*9/L,HEM/BC
MID,7,24347-7,https://loinc.org/24347-7,ACTIVE,Parathyrin.mid molecule and Calcium panel - Serum or Plasma,PTH Mid Mol + Ca Pnl SerPl,1,Parathyrin.mid molecule & Calcium panel,-,Pt,Ser/Plas,Qn,,,PANEL.CHEM
MID,8,99539-9,https://loinc.org/99539-9,ACTIVE,Stenosis degree [Length fraction] in Mid left anterior descending artery by Autopsy,Sten deg LenFr mLAD Autopsy,1,Stenosis degree,LenFr,Pt,Mid left anterior descending artery,Qn,Autopsy,%,PATH
MID,10,99545-6,https://loinc.org/99545-6,ACTIVE,Stenosis degree [Length fraction] in Mid right coronary artery by Autopsy,Sten deg LenFr mRCA Autopsy,1,Stenosis degree,LenFr,Pt,Mid right coronary artery,Qn,Autopsy,%,PATH
MID,16,82592-7,https://loinc.org/82592-7,ACTIVE,Reticulocytes.mid light scatter/Reticulocytes.total in Blood by Automated count,Mid Retics NFr Auto,1,Reticulocytes.mid light scatter/Reticulocytes.total,NFr,Pt,Bld,Qn,Automated count,%,HEM/BC
MID,37,32349-3,https://loinc.org/32349-3,ACTIVE,Basophils+Eosinophils+Monocytes [#/volume] in Blood,Baso+Eos+Monos # Bld,1,Basophils+Eosinophils+Monocytes,NCnc,Pt,Bld,Qn,,10*3/mm3,HEM/BC
MID,48,32350-1,https://loinc.org/32350-1,ACTIVE,Basophils+Eosinophils+Monocytes/Leukocytes in Blood,Baso+Eos+Monos NFr Bld,1,Basophils+Eosinophils+Monocytes/Leukocytes,NFr,Pt,Bld,Qn,,%,HEM/BC
S. Typhi 'H',1,31621-6,https://loinc.org/31621-6,ACTIVE,Salmonella typhi H D Ab [Units/volume] in Serum,S Typhi H d Ab Ser-aCnc,1,Salmonella typhi H D Ab,ACnc,Pt,Ser,Qn,,,MICRO
S. Typhi 'H',2,13284-5,https://loinc.org/13284-5,ACTIVE,Salmonella typhi H D Ab [Presence] in Serum,S Typhi H d Ab Ser Ql,1,Salmonella typhi H D Ab,PrThr,Pt,Ser,Ord,,,MICRO
S. Typhi 'H',3,14227-3,https://loinc.org/14227-3,ACTIVE,Salmonella typhi H D Ab [Titer] in Serum,S Typhi H d Ab Titr Ser,1,Salmonella typhi H D Ab,Titr,Pt,Ser,SemiQn,,titer,MICRO
S. Typhi 'H',4,17565-3,https://loinc.org/17565-3,ACTIVE,Salmonella typhi H D Ab [Presence] in Serum by Latex agglutination,S Typhi H d Ab Ser Ql LA,1,Salmonella typhi H D Ab,PrThr,Pt,Ser,Ord,LA,,MICRO
S. Typhi 'H',5,47388-4,https://loinc.org/47388-4,ACTIVE,Salmonella typhi H D Ab [Titer] in Serum by Agglutination,S Typhi H d Ab Titr Ser Aggl,1,Salmonella typhi H D Ab,Titr,Pt,Ser,SemiQn,Aggl,titer,MICRO
S. Typhi 'H',6,22529-2,https://loinc.org/22529-2,ACTIVE,Salmonella typhi H Ab [Presence] in Serum,S Typhi H Ab Ser Ql,1,Salmonella typhi H Ab,PrThr,Pt,Ser,Ord,,,MICRO
S. Typhi 'H',7,5345-4,https://loinc.org/5345-4,ACTIVE,Salmonella typhi H Ab [Presence] in Serum by Latex agglutination,S Typhi H Ab Ser Ql LA,1,Salmonella typhi H Ab,PrThr,Pt,Ser,Ord,LA,,MICRO
S. Typhi 'H',8,42960-5,https://loinc.org/42960-5,ACTIVE,Salmonella typhi H Ab [Titer] in Serum,S Typhi H Ab Titr Ser,1,Salmonella typhi H Ab,Titr,Pt,Ser,SemiQn,,titer,MICRO
S. Typhi 'H',9,34371-5,https://loinc.org/34371-5,ACTIVE,Salmonella typhi H Ab [Titer] in Serum by Agglutination,S Typhi H Ab Titr Ser Aggl,1,Salmonella typhi H Ab,Titr,Pt,Ser,SemiQn,Aggl,titer,MICRO
ANTI-TPO,2,8099-4,https://loinc.org/8099-4,ACTIVE,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,Thyroperoxidase Ab SerPl-aCnc,1,Thyroperoxidase Ab,ACnc,Pt,Ser/Plas,Qn,,IU/mL;units/mL,SERO
ANTI-TPO,3,32042-4,https://loinc.org/32042-4,ACTIVE,Thyroperoxidase Ab [Presence] in Serum or Plasma,Thyroperoxidase Ab SerPl Ql,1,Thyroperoxidase Ab,PrThr,Pt,Ser/Plas,Ord,,,SERO
ANTI-TPO,5,5382-7,https://loinc.org/5382-7,ACTIVE,Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Radioimmunoassay (RIA),Thyroperoxidase Ab SerPl RIA-aCnc,1,Thyroperoxidase Ab,ACnc,Pt,Ser/Plas,Qn,RIA,,SERO
ANTI-TPO,6,32786-6,https://loinc.org/32786-6,ACTIVE,Thyroperoxidase Ab [Titer] in Serum or Plasma,Thyroperoxidase Ab Titr SerPl,1,Thyroperoxidase Ab,Titr,Pt,Ser/Plas,SemiQn,,titer,SERO
ANTI-TPO,7,18332-7,https://loinc.org/18332-7,ACTIVE,Thyroperoxidase IgG Ab [Units/volume] in Serum or Plasma,Thyroperoxidase IgG SerPl-aCnc,1,Thyroperoxidase Ab.IgG,ACnc,Pt,Ser/Plas,Qn,,,SERO
ANTI-TPO,8,83118-0,https://loinc.org/83118-0,ACTIVE,Thyroperoxidase IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Thyroperoxidase IgG SerPl IA-aCnc,1,Thyroperoxidase Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,IU/mL,CHEM
ANTI-TPO,9,17707-1,https://loinc.org/17707-1,ACTIVE,Thyroperoxidase IgM Ab [Units/volume] in Serum or Plasma,Thyroperoxidase IgM SerPl-aCnc,1,Thyroperoxidase Ab.IgM,ACnc,Pt,Ser/Plas,Qn,,,SERO
ANTI-TPO,10,63361-0,https://loinc.org/63361-0,ACTIVE,Thyroperoxidase Ab [Units/volume] in Body fluid by Immunoassay,Thyroperoxidase Ab Fld IA-aCnc,1,Thyroperoxidase Ab,ACnc,Pt,Body fld,Qn,IA,IU/mL,SERO
ANTI-TPO,11,63362-8,https://loinc.org/63362-8,ACTIVE,Thyroperoxidase Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,Thyroperoxidase Ab CSF IA-aCnc,1,Thyroperoxidase Ab,ACnc,Pt,CSF,Qn,IA,IU/mL,SERO
ANTI-TPO,12,56477-3,https://loinc.org/56477-3,ACTIVE,Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Immunoassay,Thyroperoxidase Ab SerPl IA-aCnc,1,Thyroperoxidase Ab,ACnc,Pt,Ser/Plas,Qn,IA,index,SERO
ANTI-TPO,13,17706-3,https://loinc.org/17706-3,ACTIVE,Thyroperoxidase Ab [Titer] in Cerebral spinal fluid by Latex agglutination,Thyroperoxidase Ab Titr CSF LA,1,Thyroperoxidase Ab,Titr,Pt,CSF,SemiQn,LA,titer,SERO
ANTI-TPO,14,5383-5,https://loinc.org/5383-5,ACTIVE,Thyroperoxidase Ab [Titer] in Serum or Plasma by Latex agglutination,Thyroperoxidase Ab Titr SerPl LA,1,Thyroperoxidase Ab,Titr,Pt,Ser/Plas,SemiQn,LA,titer,SERO
Dengue NS1 Antigen,1,101206-1,https://loinc.org/101206-1,ACTIVE,Dengue virus NS1 Ag [Units/volume] in Serum or Plasma by Immunoassay,DENV NS1 Ag SerPl IA-aCnc,1,Dengue virus NS1 Ag,ACnc,Pt,Ser/Plas,Qn,IA,index value,MICRO
Dengue NS1 Antigen,2,91064-6,https://loinc.org/91064-6,ACTIVE,Dengue virus NS1 Ag [Presence] in Serum or Plasma by Immunoassay,DENV NS1 Ag SerPl Ql IA,1,Dengue virus NS1 Ag,PrThr,Pt,Ser/Plas,Ord,IA,,MICRO
Dengue NS1 Antigen,3,75377-2,https://loinc.org/75377-2,ACTIVE,"Dengue virus NS1 Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay",DENV NS1 Ag SerPlBld Ql IA.rapid,1,Dengue virus NS1 Ag,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,MICRO
SGOT,1,14413-9,https://loinc.org/14413-9,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Urine,AST Ur-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Urine,Qn,,arb U/L,CHEM
SGOT,2,14412-1,https://loinc.org/14412-1,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Gastric fluid,AST Gast-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Gast fld,Qn,,arb U/L,CHEM
SGOT,3,96587-1,https://loinc.org/96587-1,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in DBS,AST DBS-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Bld.dot,Qn,,U/mL,CHEM
SGOT,4,14414-7,https://loinc.org/14414-7,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Dialysis fluid,AST Dial fld-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Dial fld,Qn,,arb U/L,CHEM
SGOT,5,14410-5,https://loinc.org/14410-5,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Peritoneal fluid,AST Prt-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Periton fld,Qn,,arb U/L,CHEM
SGOT,6,14409-7,https://loinc.org/14409-7,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Pleural fluid,AST Plr-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Plr fld,Qn,,arb U/L,CHEM
SGOT,7,16412-9,https://loinc.org/16412-9,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Red Blood Cells,AST RBC-cCnc,1,Aspartate aminotransferase,CCnc,Pt,RBC,Qn,,arb U/L,CHEM
SGOT,8,27344-1,https://loinc.org/27344-1,ACTIVE,Aspartate aminotransferase [Presence] in Serum or Plasma,AST SerPl Ql,1,Aspartate aminotransferase,PrThr,Pt,Ser/Plas,Ord,,,CHEM
SGOT,9,100739-2,https://loinc.org/100739-2,ACTIVE,Aspartate aminotransferase.macromolecular [Presence] in Serum or Plasma,AST Macro SerPl Ql,1,Aspartate aminotransferase.macromolecular,PrThr,Pt,Ser/Plas,Ord,,,CHEM
SGOT,10,1917-4,https://loinc.org/1917-4,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Amniotic fluid,AST Amn-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Amnio fld,Qn,,arb U/L,CHEM
SGOT,11,1918-2,https://loinc.org/1918-2,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Cerebral spinal fluid,AST CSF-cCnc,1,Aspartate aminotransferase,CCnc,Pt,CSF,Qn,,arb U/L,CHEM
SGOT,12,1920-8,https://loinc.org/1920-8,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST SerPl-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,,arb U/L,CHEM
SGOT,13,43822-6,https://loinc.org/43822-6,ACTIVE,Aspartate aminotransferase [Presence] in Body fluid,AST Fld Ql,1,Aspartate aminotransferase,PrThr,Pt,Body fld,Ord,,,CHEM
SGOT,14,1919-0,https://loinc.org/1919-0,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Body fluid,AST Fld-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Body fld,Qn,,arb U/L,CHEM
SGOT,15,14411-3,https://loinc.org/14411-3,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Synovial fluid,AST Snv-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Synv fld,Qn,,arb U/L,CHEM
SGOT,16,48136-6,https://loinc.org/48136-6,ACTIVE,Aspartate aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma,AST Macro SerPl-cCnc,1,Aspartate aminotransferase.macromolecular,CCnc,Pt,Ser/Plas,Qn,,arb U/L,CHEM
SGOT,17,44786-2,https://loinc.org/44786-2,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] (Maximum value during study) in Serum or Plasma,AST (Study max) SerPl-cCnc,1,Aspartate aminotransferase,CCnc,Stdy^max,Ser/Plas,Qn,,arb U/L,CHEM
SGOT,18,54500-4,https://loinc.org/54500-4,ACTIVE,Aspartate aminotransferase.macromolecular/Aspartate aminotransferase.total in Serum or Plasma,AST Macro/AST.total CFr SerPl,1,Aspartate aminotransferase.macromolecular/Aspartate aminotransferase.total,CFr,Pt,Ser/Plas,Qn,,%,CHEM
SGOT,19,2325-9,https://loinc.org/2325-9,ACTIVE,Gamma glutamyl transferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma,GGT/AST SerPl-cRto,1,Gamma glutamyl transferase/Aspartate aminotransferase,CRto,Pt,Ser/Plas,Qn,,,CHEM
SGOT,20,30239-8,https://loinc.org/30239-8,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,AST SerPl w P-5'-P-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,With P-5'-P,arb U/L,CHEM
SGOT,21,16325-3,https://loinc.org/16325-3,ACTIVE,Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma,ALT/AST SerPl-cRto,1,Alanine aminotransferase/Aspartate aminotransferase,CRto,Pt,Ser/Plas,Qn,,U/U,CHEM
SGOT,22,88112-8,https://loinc.org/88112-8,ACTIVE,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,AST SerPl w/o P-5'-P-cCnc,1,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,No addition of P-5'-P,arb U/L,CHEM
SGOT,23,1916-6,https://loinc.org/1916-6,ACTIVE,Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma,AST/ALT SerPl-cRto,1,Aspartate aminotransferase/Alanine aminotransferase,CRto,Pt,Ser/Plas,Qn,,U/U,CHEM
Serum Homocysteine (Quantitative),1,44719-3,https://loinc.org/44719-3,ACTIVE,Methylmalonate/Homocysteine [Mass Ratio] in Serum or Plasma,Methylmalonate/Homocysteine SerPl,1,Methylmalonate/Homocysteine,MRto,Pt,Ser/Plas,Qn,,,CHEM
Serum Homocysteine (Quantitative),2,32615-7,https://loinc.org/32615-7,ACTIVE,Homocysteine cysteine disulfide [Moles/volume] in Serum or Plasma,Hycs-Cys diS SerPl-sCnc,1,Homocysteine cysteine disulfide,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum Homocysteine (Quantitative),3,2428-1,https://loinc.org/2428-1,ACTIVE,Homocysteine [Mass/volume] in Serum or Plasma,Hcys SerPl-mCnc,1,Homocysteine,MCnc,Pt,Ser/Plas,Qn,,,CHEM
Serum Homocysteine (Quantitative),4,13965-9,https://loinc.org/13965-9,ACTIVE,Homocysteine [Moles/volume] in Serum or Plasma,Hcys SerPl-sCnc,1,Homocysteine,SCnc,Pt,Ser/Plas,Qn,,umol/L;mcmol/dL; mcmol/L,CHEM
Serum Homocysteine (Quantitative),5,1696-4,https://loinc.org/1696-4,ACTIVE,5-Methyltetrahydrofolate homocysteine methyltransferase [Enzymatic activity/volume] in Serum,5MTHF-Hcys-MT Ser-cCnc,1,5-Methyltetrahydrofolate homocysteine methyltransferase,CCnc,Pt,Ser,Qn,,arb U/L,CHEM
Serum Homocysteine (Quantitative),6,80175-3,https://loinc.org/80175-3,ACTIVE,S-adenosylhomocysteine [Moles/volume] in Serum or Plasma,SAH SerPl-sCnc,1,S-adenosylhomocysteine,SCnc,Pt,Ser/Plas,Qn,,nmol/L,CHEM
Serum Homocysteine (Quantitative),7,72500-2,https://loinc.org/72500-2,ACTIVE,Homocyst(e)ine [Moles/volume] in Serum or Plasma --fasting,Hcys p fast SerPl-sCnc,1,Homocyst(e)ine^post CFst,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHAL
Serum Homocysteine (Quantitative),8,58859-0,https://loinc.org/58859-0,ACTIVE,Homocyst(e)ine [Moles/volume] in Serum or Plasma --post XXX challenge,Hcys p chal SerPl-sCnc,1,Homocyst(e)ine^post XXX challenge,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHAL
Serum Homocysteine (Quantitative),9,72501-0,https://loinc.org/72501-0,ACTIVE,Homocyst(e)ine [Moles/volume] in Serum or Plasma --6 hours post dose methionine,Hcys 6h p Met SerPl-sCnc,1,Homocyst(e)ine^6H post dose methionine,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHAL
Serum Homocysteine (Quantitative),10,72502-8,https://loinc.org/72502-8,ACTIVE,Homocyst(e)ine [Molar concentration difference] in Serum or Plasma --6 hours post dose methionine - post CFst,Hcys 6h p Met-CFst SerPl-SCDiff,1,Homocyst(e)ine^6H post dose methionine - post CFst,SCncDiff,Pt,Ser/Plas,Qn,,umol/L,CHAL
C-Reactive Protein,2,48421-2,https://loinc.org/48421-2,ACTIVE,C reactive protein [Mass/volume] in Capillary blood,CRP BldC-mCnc,1,C reactive protein,MCnc,Pt,BldC,Qn,,mg/L,CHEM
C-Reactive Protein,3,11039-5,https://loinc.org/11039-5,ACTIVE,C reactive protein [Presence] in Serum or Plasma,CRP SerPl Ql,1,C reactive protein,PrThr,Pt,Ser/Plas,Ord,,,CHEM
C-Reactive Protein,4,76485-2,https://loinc.org/76485-2,ACTIVE,C reactive protein [Moles/volume] in Serum or Plasma,CRP SerPl-sCnc,1,C reactive protein,SCnc,Pt,Ser/Plas,Qn,,nmol/L,CHEM
C-Reactive Protein,5,98987-1,https://loinc.org/98987-1,ACTIVE,C reactive protein [Units/volume] in Body fluid,CRP Fld-aCnc,1,C reactive protein,ACnc,Pt,Body fld,Qn,,arb U/L,CHEM
C-Reactive Protein,6,16503-5,https://loinc.org/16503-5,ACTIVE,C reactive protein [Mass/volume] in Body fluid,CRP Fld-mCnc,1,C reactive protein,MCnc,Pt,Body fld,Qn,,ng/dL,CHEM
C-Reactive Protein,7,45062-7,https://loinc.org/45062-7,ACTIVE,C reactive protein [Mass/volume] in Cerebral spinal fluid,CRP CSF-mCnc,1,C reactive protein,MCnc,Pt,CSF,Qn,,mg/L,CHEM
C-Reactive Protein,8,1988-5,https://loinc.org/1988-5,ACTIVE,C reactive protein [Mass/volume] in Serum or Plasma,CRP SerPl-mCnc,1,C reactive protein,MCnc,Pt,Ser/Plas,Qn,,mg/L;mcg/mL; mg/dL,CHEM
C-Reactive Protein,9,14634-0,https://loinc.org/14634-0,ACTIVE,C reactive protein [Titer] in Serum or Plasma,CRP Titr SerPl,1,C reactive protein,Titr,Pt,Ser/Plas,SemiQn,,titer,CHEM
C-Reactive Protein,10,71426-1,https://loinc.org/71426-1,ACTIVE,C reactive protein [Mass/volume] in Blood by High sensitivity method,CRP Bld HS-mCnc,1,C reactive protein,MCnc,Pt,Bld,Qn,High sensitivity,mg/L,CHEM
C-Reactive Protein,11,35648-5,https://loinc.org/35648-5,ACTIVE,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,CRP Quint SerPl Qn HS,1,C reactive protein,Quintile,Pt,Ser/Plas,Qn,High sensitivity,,CHEM
C-Reactive Protein,12,59182-6,https://loinc.org/59182-6,ACTIVE,C reactive protein [Mass/volume] in Cerebral spinal fluid by High sensitivity method,CRP CSF HS-mCnc,1,C reactive protein,MCnc,Pt,CSF,Qn,High sensitivity,mg/L,CHEM
C-Reactive Protein,13,30522-7,https://loinc.org/30522-7,ACTIVE,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,CRP SerPl HS-mCnc,1,C reactive protein,MCnc,Pt,Ser/Plas,Qn,High sensitivity,mcg/mL; mg/dL; mg/L,CHEM
C-Reactive Protein,14,105126-7,https://loinc.org/105126-7,ACTIVE,"C reactive protein [Mass/volume] in Serum, Plasma or Blood",CRP SerPlBld-mCnc,1,C reactive protein,MCnc,Pt,Ser/Plas/Bld,Qn,,mg/dL,CHEM
C-Reactive Protein,15,76486-0,https://loinc.org/76486-0,ACTIVE,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,CRP SerPl HS-sCnc,1,C reactive protein,SCnc,Pt,Ser/Plas,Qn,High sensitivity,nmol/L,CHEM
C-Reactive Protein,16,106736-2,https://loinc.org/106736-2,ACTIVE,"C reactive protein [Mass/volume] in Serum, Plasma or Blood by Rapid immunoassay",CRP SerPlBld IA.rapid-mCnc,1,C reactive protein,MCnc,Pt,Ser/Plas/Bld,Qn,IA.rapid,mg/L;μg/mL;mg/dL,CHEM
Serum Total Protein,1,34907-6,https://loinc.org/34907-6,ACTIVE,Calcium [Mass/volume] corrected for total protein in Serum or Plasma,Calcium TP cor SerPl-mCnc,1,Calcium^^corrected for total protein,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHEM
Serum Total Protein,3,18281-6,https://loinc.org/18281-6,ACTIVE,Calcium [Moles/volume] corrected for total protein in Serum or Plasma,Calcium TP cor SerPl-sCnc,1,Calcium^^corrected for total protein,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHEM
Serum Total Protein,4,56766-9,https://loinc.org/56766-9,ACTIVE,Protein.monoclonal band 1/Protein.total in Serum or Plasma by Electrophoresis,M Protein 1 MFr SerPl Elph,1,Protein.monoclonal band 1/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,5,44932-2,https://loinc.org/44932-2,ACTIVE,Protein.monoclonal band 2/Protein.total in Serum or Plasma by Electrophoresis,M Protein 2 MFr SerPl Elph,1,Protein.monoclonal band 2/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,6,50792-1,https://loinc.org/50792-1,ACTIVE,Protein.monoclonal band 3/Protein.total in Serum or Plasma by Electrophoresis,M Protein 3 MFr SerPl Elph,1,Protein.monoclonal band 3/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,7,50793-9,https://loinc.org/50793-9,ACTIVE,Protein.monoclonal band 4/Protein.total in Serum or Plasma by Electrophoresis,M Protein 4 MFr SerPl Elph,1,Protein.monoclonal band 4/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,8,101199-8,https://loinc.org/101199-8,ACTIVE,Protein.monoclonal band 5/Protein.total in Serum or Plasma by Electrophoresis,M Protein 5 MFr SerPl Elph,1,Protein.monoclonal band 5/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,9,101200-4,https://loinc.org/101200-4,ACTIVE,Protein.monoclonal band 6/Protein.total in Serum or Plasma by Electrophoresis,M Protein 6 MFr SerPl Elph,1,Protein.monoclonal band 6/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,10,33647-9,https://loinc.org/33647-9,ACTIVE,Protein.monoclonal/Protein.total in Serum or Plasma by Electrophoresis,M Protein MFr SerPl Elph,1,Protein.monoclonal/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Total Protein,11,96463-5,https://loinc.org/96463-5,ACTIVE,Copper free/Total copper in Serum or Plasma by calculation,Copper free/Total copper MFr SerPl Calc,1,Copper.free/Copper.total,MFr,Pt,Ser/Plas,Qn,Calculated,%,DRUG/TOX
Serum Total Protein,12,61346-3,https://loinc.org/61346-3,ACTIVE,Rat urine proteins IgE Ab/IgE total in Serum,Rat Urine Prot IgE/IgE total %,1,Rat urine proteins Ab.IgE/IgE.total,AFr,Pt,Ser,Qn,,% response,ALLERGY
Serum Total Protein,13,61342-2,https://loinc.org/61342-2,ACTIVE,Mouse urine proteins IgE Ab/IgE total in Serum,Mouse Urine Prot IgE/IgE total %,1,Mouse urine proteins Ab.IgE/IgE.total,AFr,Pt,Ser,Qn,,% response,ALLERGY
Serum Total Protein,14,97182-0,https://loinc.org/97182-0,ACTIVE,Carnitine free and total and acylcarnitine panel - Serum or Plasma,Carnitine + acylcarnitine Pnl SerPl,1,Carnitine free & total & acylcarnitine panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum Total Protein,15,100662-6,https://loinc.org/100662-6,ACTIVE,Cortisol free and total panel - Serum or Plasma,CORTO SerPl,1,Cortisol free & total panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum Total Protein,16,72890-7,https://loinc.org/72890-7,ACTIVE,Progesterone Free/Progesterone.total in Serum or Plasma,Progest Free/Total MFr SerPl,1,Progesterone.free/Progesterone.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Total Protein,17,14960-9,https://loinc.org/14960-9,ACTIVE,Estradiol (E2) Free/Estradiol (E2).total in Serum or Plasma,Estradiol Free MFr SerPl,1,Estradiol.free/Estradiol.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Total Protein,18,58952-3,https://loinc.org/58952-3,ACTIVE,Testosterone free and total panel [Mass/volume] - Serum or Plasma,Testost free+total panel SerPl-mCnc,1,Testosterone free & total panel,MCnc,Pt,Ser/Plas,Qn,,,PANEL.CHEM
Serum Total Protein,19,58716-2,https://loinc.org/58716-2,ACTIVE,Testosterone.free+weakly bound and total panel - Serum or Plasma,Testost free+WB + Total pnl SerPl,1,Testosterone.free+weakly bound & total panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum Total Protein,20,55839-5,https://loinc.org/55839-5,ACTIVE,Cholesterol ester transfer protein [Units/volume] in Serum or Plasma,Cholest est trnsfr prot SerPl-aCnc,1,Cholesterol ester transfer protein,ACnc,Pt,Ser/Plas,Qn,,,CHEM
Serum Total Protein,21,65364-2,https://loinc.org/65364-2,ACTIVE,Cortisol Free/Cortisol.total in Serum or Plasma,Cortis F/Total MFr SerPl,1,Cortisol.free/Cortisol.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Total Protein,22,34540-5,https://loinc.org/34540-5,ACTIVE,Phenytoin free and total panel - Serum or Plasma,Phenytoin Free+Total Pnl SerPl,1,Phenytoin free & total panel,-,Pt,Ser/Plas,Qn,,,PANEL.DRUG/TOX
Serum Total Protein,23,78439-7,https://loinc.org/78439-7,ACTIVE,Phenytoin free and total trough panel - Serum or Plasma,Phyt Free + Total Trough Pnl SerPl,1,Phenytoin free & total trough panel,-,Pt,Ser/Plas,Qn,,,PANEL.DRUG/TOX
